Pathway,Group,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
A-EJ,Eye,Lig3,2097.14213587343,565.139743105493,1697.10753069992,2285.67714786038,1546.15192974879,3168.53157360107,11
A-EJ,Femoral lateral skin,Parp1,1309.69720217113,136.785338826058,1235.9658189531,1349.74312044087,1165.32985649531,1520.40907267251,9
A-EJ,Femoral lateral skin,Polq,235.333062188261,90.5397268061663,167.834636351917,283.071087289197,107.714204661853,410.415486795616,9
A-EJ,Femoral lateral skin,Lig1,559.904747260023,88.2613047869609,516.883785415222,621.392569590905,436.418855297161,722.065732208092,9
A-EJ,Femoral lateral skin,Lig3,2448.92414131558,216.643629744269,2374.49953360706,2553.99672408187,2105.25374789484,2823.24250979408,9
A-EJ,Femoral skin,Parp1,1466.75531211488,332.385364462572,1349.23933952556,1584.27128470421,1231.72336693624,1701.78725729353,2
A-EJ,Femoral skin,Polq,173.782149415439,55.7371739351075,154.076082588594,193.488216242283,134.37001576175,213.194283069127,2
A-EJ,Femoral skin,Lig1,374.89596349368,149.996262942292,321.864276154113,427.927650833248,268.832588814545,480.959338172815,2
A-EJ,Femoral skin,Lig3,2250.17847664849,483.371340406396,2079.2809003322,2421.07605296479,1908.3833240159,2591.97362928109,2
A-EJ,Gastrocnemius,Parp1,1381.5524356827,433.288973100842,1103.84019945387,1711.46646479123,530.410433452121,1839.16570819133,10
A-EJ,Gastrocnemius,Polq,24.9007084789535,21.3932920361754,8.58361463169611,40.7734652054588,6.95780293041401,60.0389864451265,10
A-EJ,Gastrocnemius,Lig1,27.2590925140069,23.8833406085327,13.6435974119302,27.258635268951,7.66599989689268,47.6811920544823,10
A-EJ,Gastrocnemius,Lig3,805.868645895264,334.198387197633,540.0635757812,1076.37185018107,285.325114831932,1157.81138467611,10
A-EJ,Heart,Parp1,1060.58815931219,132.221140852199,1004.51236411391,1133.48401514312,914.79644765034,1172.73974970875,3
A-EJ,Heart,Polq,231.811243178713,24.440566412173,221.259553178712,245.200761837721,205.032205860697,252.914623178714,3
A-EJ,Heart,Lig1,55.2448367707737,2.74747200105012,54.1127282525105,56.7731271372592,52.1882560378028,57.5090538073002,3
A-EJ,Heart,Lig3,388.168845314779,46.4304724949729,369.72786621727,414.23851619292,336.029503558498,425.050803509797,3
