analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Tibialis anterior,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.31706642028146,1.31706642028146,1,0,1,2.01647815742854,0.0437500000000002,SpaceX-21,1,0.084888059701493
Heart,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.25521821635024,1.25521821635024,1,0,1,2.20334263429859,0.0275706081537657,NG-11,1,0.0562960061778462
Extensor digitorum longus,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,2,2,2,1.25383281999274,1.25383281999274,2,0,0.5,2.69497480362476,0.0070393953932125,SpaceX-21;SpaceX-4,1,0.0169466926132894
Colon,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.16595861601434,1.16595861601434,1,0,1,1.39296629761507,0.163629982406955,SpaceX-21,1,0.260472216892704
Gastrocnemius,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,2,2,1.0046455489095,1.0046455489095,1,0,1,0.755364027146899,0.450030591194043,SpaceX-4,1,0.567460317460318
Kidney,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,4,5,9,0.75864572531225,0.743619052244698,3,1,0.25,3.21576496087261,0.00130097335940574,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.0035234695150572
Retina,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,4,4,4,0.439341796149114,0.856875418309948,3,1,0.5,0.347963854333299,0.727867329231091,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,0.813376098567695
Dorsal skin,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,2,2,5,0.365903471617491,0.365903471617491,1,1,1,0.0119025140075193,0.990503392069677,SpaceX-11;SpaceX-15,1,1
Mammary gland,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,2,-0.02265273533098,-0.02265273533098,0,1,1,-0.0931564518833465,0.925779270250234,SpaceX-16,1,0.957702693362311
Eye,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,2,2,2,-0.0845037219024296,-0.0845037219024296,1,1,1,-0.472153001650187,0.636817583328113,SpaceX-4;SpaceX-8,1,0.741153342070773
Soleus,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,3,3,3,-0.302467017592683,-1.15713060436612,1,2,1,-0.0183953312393944,0.985323476944965,SpaceX-21;SpaceX-4;SpaceX-9,1,1
Liver,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,3,5,5,-0.382169395368769,-0.188301566368439,0,3,0.25,-0.892832407567205,0.371946928588501,SpaceX-12;SpaceX-4;SpaceX-8,1,0.493398986903113
Left lobe of the liver,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,2,2,3,-0.562864177160433,-0.562864177160433,1,1,1,-0.922290496292613,0.356377069920698,SpaceX-16;SpaceX-21,1,0.475144512606618
Adrenal gland,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,2,2,2,-1.01056570526351,-1.01056570526351,0,2,0.5,-1.20286365424456,0.229029087242319,SpaceX-21;SpaceX-8,1,0.33204960603905
Cerebellum,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,-1.06080019748657,-1.06080019748657,0,1,1,-1.0527117576453,0.29247311827957,SpaceX-21,1,0.400142916070381
Spleen-distal,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,-1.13598427734806,-1.13598427734806,0,1,1,-1.37456923037768,0.169265033407573,SpaceX-12,1,0.267260579064588
Heart / Heart right ventricle,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,2,-1.16097553044305,-1.16097553044305,0,1,1,-1.43875777265897,0.150219164377543,SpaceX-18,1,0.242088735980337
