accession,analysis_window,analysis_role,input_relative_path,tissue,mission_raw,mission_cluster,duration_days,biological_experiment_id,animal_cohort_id,raw_log2fc_column,raw_left_label,raw_right_label,orientation_multiplier,unified_contrast_label,curation_note,contrast_id
OSD-239,main_30_40d,primary,02_processed_data/osdr_processed/OSD-239/GLDS-239_rna_seq_differential_expression_GLbulkRNAseq.csv,皮肤,SpaceX-12,SpaceX-12,34,OSD-239,OSD-239_STANDARD_CHOW,Log2fc_(Ground Control & 1G on Earth & JAXA Chow)v(Space Flight & uG & JAXA Chow),Ground Control & 1G on Earth & JAXA Chow,Space Flight & uG & JAXA Chow,-1,Space Flight vs Ground,Primary baseline diet contrast; FOS intervention is excluded from the global baseline analysis.,
OSD-289,main_30_40d,primary,02_processed_data/osdr_processed/OSD-289/GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,胸腺,SpaceX-9,SpaceX-9,35,MHU1_THYMUS,MHU1,Log2fc_(MHU-1 & Ground Control & 1G on Earth)v(MHU-1 & Space Flight & uG),MHU-1 & Ground Control & 1G on Earth,MHU-1 & Space Flight & uG,-1,Space Flight vs Ground,MHU-1 uG versus ground baseline; flight is C57BL/6J Jackson and ground is C57BL/6NCrl Charles River so substrain/vendor confounding is explicit; centrifugation contrasts reserved for Stage 05.,
OSD-289,main_30_40d,primary,02_processed_data/osdr_processed/OSD-289/GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,胸腺,SpaceX-12,SpaceX-12,30,MHU2_THYMUS,MHU2,Log2fc_(MHU-2 & Space Flight & uG)v(MHU-2 & Vivarium Control & 1G on Earth),MHU-2 & Space Flight & uG,MHU-2 & Vivarium Control & 1G on Earth,1,Space Flight vs Ground,MHU-2 matched uG versus vivarium-ground baseline; centrifugation contrasts reserved for Stage 05.,MHU2
OSD-686,main_30_40d,primary,02_processed_data/osdr_processed/OSD-686/GLDS-617_rna_seq_differential_expression_GLbulkRNAseq.csv,肝脏/代谢,SpaceX-12,SpaceX-12,34,OSD-686,OSD-686,Log2fc_(Ground Control & 1G on Earth)v(Space Flight & uG),Ground Control & 1G on Earth,Space Flight & uG,-1,Space Flight vs Ground,
OSD-714,main_30_40d,primary,02_processed_data/osdr_processed/OSD-714/GLDS-638_rna_seq_differential_expression_GLbulkRNAseq.csv,肌肉,SpaceX-17; SpaceX-20; SpaceX-9,SpaceX-9,30,MHU1_SKELETAL_MUSCLE,MHU1,Log2fc_(Mouse Habitat Unit 1 (MHU-1) & Ground Control & 1G on Earth)v(Mouse Habitat Unit 1 (MHU-1) & Space Flight & uG),Mouse Habitat Unit 1 (MHU-1) & Ground Control & 1G on Earth,Mouse Habitat Unit 1 (MHU-1) & Space Flight & uG,-1,Space Flight vs Ground,复杂多任务/MHU设计；保留uG vs Ground人工curated contrast，排除1G/部分重力离心contrast；天数按30-40窗口相关任务审计
OSD-758,main_30_40d,primary,02_processed_data/osdr_processed/OSD-758/GLDS-664_rna_seq_differential_expression_GLbulkRNAseq.csv,眼/视网膜,SpaceX-27,SpaceX-27,32,OSD-758,OSD-758,Log2fc_(Ground Control & 1G on Earth)v(Space Flight & uG),Ground Control & 1G on Earth,Space Flight & uG,-1,Space Flight vs Ground,复核补入：uG vs Ground；排除0.33G/0.66G/1G离心contrast
OSD-759,main_30_40d,primary,02_processed_data/osdr_processed/OSD-759/GLDS-665_rna_seq_differential_expression_GLbulkRNAseq.csv,眼/视网膜,SpaceX-27,SpaceX-27,32,OSD-759,OSD-759,Log2fc_(Ground Control & 1G on Earth)v(Space Flight & uG),Ground Control & 1G on Earth,Space Flight & uG,-1,Space Flight vs Ground,
OSD-667,main_30_40d,primary,02_processed_data/osdr_processed/OSD-667/GLDS-606_rna_seq_differential_expression_GLbulkRNAseq.csv,胃肠道,SpaceX-21,SpaceX-21,39,OSD-667,OSD-667,Log2fc_(Wild Type & Ground Control)v(Wild Type & Space Flight),Wild Type & Ground Control,Wild Type & Space Flight,-1,Space Flight vs Ground,复核补入：WT-only FvG；排除p21-null contrasts
OSD-899,main_30_40d,primary,02_processed_data/osdr_processed/OSD-899/GLDS-728_rna_seq_differential_expression_GLbulkRNAseq.csv,胃肠道,SpaceX-21,SpaceX-21,39,OSD-899,OSD-899,Log2fc_(Wild Type & Ground Control)v(Wild Type & Space Flight),Wild Type & Ground Control,Wild Type & Space Flight,-1,Space Flight vs Ground,复核修正：WT Ground v WT Space Flight 需乘以 -1 统一为 Space Flight vs Ground
OSD-900,main_30_40d,primary,02_processed_data/osdr_processed/OSD-900/GLDS-729_rna_seq_differential_expression_GLbulkRNAseq.csv,肺/呼吸道,SpaceX-21,SpaceX-21,39,OSD-900,OSD-900,Log2fc_(Ground Control & Wild Type)v(Space Flight & Wild Type),Ground Control & Wild Type,Space Flight & Wild Type,-1,Space Flight vs Ground,
