ensembl_id,gene_symbol,set_01_Quadriceps_femoris,set_02_Tibialis_anterior,set_03_Optic_nerve,set_04_Spleen,set_05_Femoral_lateral_skin,set_06_Left_lobe_of_the_liver,set_07_Colon,set_08_Cerebellum,set_09_Heart,set_10_Eye,intersection_degree
ENSMUSG00000020463,Ppp4r3b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020471,Pold2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020474,Polm,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020482,Ccdc117,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020525,Ppm1d,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020546,Stxbp4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020608,Smc6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020649,Rrm2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020694,Tlk2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020697,Lig3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020718,Polg2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020719,Ddx5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020752,Recql5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020898,Ctc1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020914,Top2a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020918,Kat2a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020974,Pole2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021039,Snw1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021098,4930447C04Rik,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021103,Mnat1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021115,Vrk1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021133,Susd6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021144,Mta1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021177,Tdp1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021179,Nrde2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021221,Dpf3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021245,Mlh3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021258,Ccnk,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021264,Yy1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021287,Xrcc3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021377,Dek,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021400,Wrnip1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021461,Fancc,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021470,Ercc6l2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021546,Hnrnpk,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021569,Trip13,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021597,Slf1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021606,Ndufs6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021615,Xrcc4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021635,Rad17,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021639,Gtf2h2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021668,Polk,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021694,Ercc8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021732,Fgf10,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021738,Atxn7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021911,Parg,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021918,Nek4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021932,Rnaseh2b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021936,Mapk8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021948,Prkcd,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000021969,Zdhhc20,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022034,Esco2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022037,Clu,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022061,Nkx3-1,0,0,0,1,1,0,1,1,0,1,5
ENSMUSG00000022111,Uchl3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022141,Nipbl,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022160,Mettl3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022184,Fbxo4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022248,Rad1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022292,Rrm2b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022314,Rad21,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022338,Eny2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022346,Myc,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022400,Rbx1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022429,Dmc1,1,1,1,1,1,1,1,1,0,1,9
ENSMUSG00000022471,Xrcc6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022508,Bcl6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022510,Trp63,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022516,Nudt16l1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022521,Crebbp,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022545,Ercc4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022556,Hsf1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022672,Prkdc,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022673,Mcm4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022674,Ube2v2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022676,Snai2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022710,Usp7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022718,Dgcr8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022779,Top3b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022855,mSENP2/iso:1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022881,Rfc4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022897,Dyrk1a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022906,Parp9,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022960,Donson,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000022997,Wnt1,0,0,1,0,0,0,0,0,0,1,2
