Tissue,Flight_Samples_Count,Pathway_1,Pathway_2,Spearman_Rho
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,mitochondrion_GO0005739,0.6
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,mechanosensation_GO0050954,0.3714285714285714
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,cytoskeleton_GO0005856,0.7714285714285715
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,cell_death_GO0008219,0.7714285714285715
Bone marrow,6,DNA_damage_tolerance_GO0006301,telomere_maintenance_GO0043247,-0.2571428571428571
Bone marrow,6,DNA_damage_tolerance_GO0006301,telomere_region_GO0000781,0.6
Bone marrow,6,DNA_damage_tolerance_GO0006301,cell_cycle_GO0007049,0.7714285714285715
Bone marrow,6,DNA_damage_tolerance_GO0006301,DNA_replication_GO0006260,0.8285714285714286
Bone marrow,6,DNA_damage_tolerance_GO0006301,DNA_templated_transcription_GO0006351,0.2571428571428571
Bone marrow,6,DNA_damage_tolerance_GO0006301,translation_GO0006412,0.4285714285714285
Bone marrow,6,DNA_damage_tolerance_GO0006301,mitochondrion_GO0005739,0.2571428571428571
Bone marrow,6,DNA_damage_tolerance_GO0006301,mechanosensation_GO0050954,0.6571428571428571
Bone marrow,6,DNA_damage_tolerance_GO0006301,cytoskeleton_GO0005856,0.3714285714285714
Bone marrow,6,DNA_damage_tolerance_GO0006301,cell_death_GO0008219,0.3714285714285714
Bone marrow,6,telomere_maintenance_GO0043247,telomere_region_GO0000781,0.2571428571428571
Bone marrow,6,telomere_maintenance_GO0043247,cell_cycle_GO0007049,0.3142857142857143
Bone marrow,6,telomere_maintenance_GO0043247,DNA_replication_GO0006260,0.2
Bone marrow,6,telomere_maintenance_GO0043247,DNA_templated_transcription_GO0006351,0.3714285714285714
Bone marrow,6,telomere_maintenance_GO0043247,translation_GO0006412,0.5428571428571428
Bone marrow,6,telomere_maintenance_GO0043247,mitochondrion_GO0005739,0.6
Bone marrow,6,telomere_maintenance_GO0043247,mechanosensation_GO0050954,-0.2
Bone marrow,6,telomere_maintenance_GO0043247,cytoskeleton_GO0005856,0.6
Bone marrow,6,telomere_maintenance_GO0043247,cell_death_GO0008219,0.6
Bone marrow,6,telomere_region_GO0000781,cell_cycle_GO0007049,0.7142857142857143
Bone marrow,6,telomere_region_GO0000781,DNA_replication_GO0006260,0.7714285714285715
Bone marrow,6,telomere_region_GO0000781,DNA_templated_transcription_GO0006351,0.4285714285714285
