Tissue,GO_ID,GO_Term_Name,n_missions,n_analysis_units,Mean_Mission_NES,Median_Mission_NES,n_positive_missions,n_negative_missions,Signflip_P_value,Signflip_FDR,Stouffer_Meta_Z,Stouffer_P_value,Stouffer_FDR
Kidney,GO:0000781,"Chromosome, telomeric region",4,9,0.400536682293705,0.645783387769243,2,2,0.5,1,1.93905586537203,0.052494536009413,0.100357201194466
Dorsal skin,GO:0000781,"Chromosome, telomeric region",2,5,0.278737006781939,0.278737006781939,1,1,1.0,1,-0.975870667459281,0.329128559610858,0.442621166373223
Extensor digitorum longus,GO:0000781,"Chromosome, telomeric region",2,2,0.17305008217824,0.17305008217824,1,1,1.0,1,1.06948224788014,0.284852423784946,0.391466445733223
Adrenal gland,GO:0000781,"Chromosome, telomeric region",2,2,0.152674733489445,0.152674733489445,1,1,1.0,1,0.561132009278777,0.574707548554339,0.685431021211597
Heart / Heart right ventricle,GO:0000781,"Chromosome, telomeric region",1,2,-0.01502894863821,-0.01502894863821,0,1,1.0,1,-0.013009626926915,0.989620112334046,1.0
Lung,GO:0000781,"Chromosome, telomeric region",1,2,-0.0581182022571301,-0.0581182022571301,0,1,1.0,1,-0.28886573411857,0.77268412660209,0.846479801614649
Gastrocnemius,GO:0000781,"Chromosome, telomeric region",1,2,-0.0824080423372401,-0.0824080423372401,0,1,1.0,1,-0.294734251113405,0.768196896187745,0.843934618347101
Soleus,GO:0000781,"Chromosome, telomeric region",3,3,-0.136421062531734,-0.815144951084722,1,2,1.0,1,0.877080347111755,0.38044299847049,0.501259356092876
Colon,GO:0000781,"Chromosome, telomeric region",1,1,-0.880409796051286,-0.880409796051286,0,1,1.0,1,-0.37040608052947,0.711079943899018,0.801506295146292
Femoral skin,GO:0000781,"Chromosome, telomeric region",1,1,-0.989727995021923,-0.989727995021923,0,1,1.0,1,-0.721522283982343,0.470588235294118,0.586355948130051
Retina,GO:0000781,"Chromosome, telomeric region",4,4,-1.11240401272156,-1.10431358016185,0,4,0.125,1,-2.45899077328943,0.0139328198529355,0.0310502842436849
Spleen-distal,GO:0000781,"Chromosome, telomeric region",1,1,-1.11611068256448,-1.11611068256448,0,1,1.0,1,-1.22329323436086,0.221218961625283,0.326800738764623
Mammary gland,GO:0000781,"Chromosome, telomeric region",1,2,-1.17973142987257,-1.17973142987257,0,1,1.0,1,-1.44410253980932,0.148710133771374,0.241653967378482
Bone marrow,GO:0000781,"Chromosome, telomeric region",1,1,-1.27092220402474,-1.27092220402474,0,1,1.0,1,-1.86273186742165,0.0625000000000002,0.11497641509434
Cecum,GO:0000781,"Chromosome, telomeric region",1,1,-1.77353033015995,-1.77353033015995,0,1,1.0,1,-3.9663792181705,7.29727279416977e-05,0.0002474727295414
Thymus,GO:0000781,"Chromosome, telomeric region",3,4,-2.60791854223342,-2.22407221079024,0,3,0.25,1,-10.4493184267548,1.4758199387109401e-25,8.22242537281809e-24
Spleen,GO:0007049,Cell cycle,1,1,1.86618768542779,1.86618768542779,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Colon,GO:0007049,Cell cycle,1,1,1.73686116819882,1.73686116819882,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Optic nerve,GO:0007049,Cell cycle,1,1,1.42905267755561,1.42905267755561,1,0,1.0,1,5.96080770053467,2.5099419787671e-09,1.37870052354813e-08
Quadriceps femoris,GO:0007049,Cell cycle,1,1,1.3572155231613,1.3572155231613,1,0,1.0,1,4.32078679933149,1.55473837098967e-05,5.88687344355313e-05
Extensor digitorum longus,GO:0007049,Cell cycle,2,2,1.334901874166,1.334901874166,2,0,0.5,1,5.81582098187314,6.033701241881931e-09,3.17992362747831e-08
Tibialis anterior,GO:0007049,Cell cycle,1,1,1.20618427388927,1.20618427388927,1,0,1.0,1,2.49329338129615,0.0126564221865178,0.0288655242850406
Heart,GO:0007049,Cell cycle,1,1,1.15524080127462,1.15524080127462,1,0,1.0,1,2.69876422651387,0.006959746445529,0.0168652977802774
Adrenal gland,GO:0007049,Cell cycle,2,2,1.03079261093449,1.03079261093449,2,0,0.5,1,1.47222962725104,0.140958879398658,0.230016581445509
Eye,GO:0007049,Cell cycle,2,2,1.01629164543566,1.01629164543566,2,0,0.5,1,1.68479961208636,0.0920272397965628,0.162401011405699
Kidney,GO:0007049,Cell cycle,4,9,0.988655191372652,0.814858463182137,3,1,0.375,1,6.07912111344463,1.208430614817e-09,6.83025999679174e-09
Femoral lateral skin,GO:0007049,Cell cycle,1,1,0.971121887869941,0.971121887869941,1,0,1.0,1,0.470739235917344,0.637826961770624,0.741153342070773
Left lobe of the liver,GO:0007049,Cell cycle,2,3,0.597010554449785,0.597010554449785,2,0,0.5,1,1.91794629070209,0.0551178217760352,0.103845171462095
Dorsal skin,GO:0007049,Cell cycle,2,5,0.347401259548179,0.347401259548179,1,1,1.0,1,0.0,1.0,1.0
Mammary gland,GO:0007049,Cell cycle,1,2,-0.0619991572778311,-0.0619991572778311,0,1,1.0,1,-0.452021910776557,0.651253197911509,0.753675807672073
Gastrocnemius,GO:0007049,Cell cycle,1,2,-0.0691112545201384,-0.0691112545201384,0,1,1.0,1,-0.696552813988917,0.486082694426668,0.59922063462609
Heart / Heart right ventricle,GO:0007049,Cell cycle,1,2,-0.126371327864315,-0.126371327864315,0,1,1.0,1,-1.37867871945846,0.167993833577491,0.26633168737895
Lung,GO:0007049,Cell cycle,1,2,-0.28386554133709,-0.28386554133709,0,1,1.0,1,-1.25469874114711,0.209588142918243,0.313177684820362
Soleus,GO:0007049,Cell cycle,3,3,-0.33752066549584,-1.34116243485125,1,2,1.0,1,-1.93171474853743,0.053394723385207,0.101087097671023
Liver,GO:0007049,Cell cycle,3,5,-0.400225173921435,-1.07496388051231,1,2,0.5,1,-1.75653017763141,0.0789979232763558,0.141326559989811
Cerebellum,GO:0007049,Cell cycle,1,1,-1.14013705756602,-1.14013705756602,0,1,1.0,1,-2.19447258400241,0.0282014527994207,0.0572842009988233
Spleen-distal,GO:0007049,Cell cycle,1,1,-1.28370625237388,-1.28370625237388,0,1,1.0,1,-4.02057407175889,5.8056490660815e-05,0.0001986143101554
Cecum,GO:0007049,Cell cycle,1,1,-1.30975596324292,-1.30975596324292,0,1,1.0,1,-4.41060359556841,1.03082874708656e-05,4.02023211363757e-05
Retina,GO:0007049,Cell cycle,4,4,-1.33288058086802,-1.33142942520889,0,4,0.125,1,-9.49359510055631,2.23200683499976e-21,7.9134787786355e-20
Bone marrow,GO:0007049,Cell cycle,1,1,-1.65192330982312,-1.65192330982312,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Femoral skin,GO:0007049,Cell cycle,1,1,-1.92280121680366,-1.92280121680366,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Thymus,GO:0007049,Cell cycle,3,4,-3.02296036031789,-2.39696995270591,0,3,0.25,1,-11.2010878531634,4.02757077303295e-29,3.92688150370713e-27
Femoral lateral skin,GO:0006260,DNA replication,1,1,1.59973928197408,1.59973928197408,1,0,1.0,1,3.89711537848925,9.73452491473854e-05,0.0003217342980294
Spleen,GO:0006260,DNA replication,1,1,1.58334384470002,1.58334384470002,1,0,1.0,1,3.75272064307453,0.0001749257525894,0.0005591888812284
Optic nerve,GO:0006260,DNA replication,1,1,1.54827002394811,1.54827002394811,1,0,1.0,1,3.68033003204642,0.0002329322797795,0.000720606600582
Quadriceps femoris,GO:0006260,DNA replication,1,1,1.42417471715593,1.42417471715593,1,0,1.0,1,2.81062805371003,0.0049444908830047,0.0125217626257912
Tibialis anterior,GO:0006260,DNA replication,1,1,1.3441623911005,1.3441623911005,1,0,1.0,1,2.59763393746697,0.0093868504087052,0.0218315234238254
Left lobe of the liver,GO:0006260,DNA replication,2,3,1.08328261920436,1.08328261920436,2,0,0.5,1,1.81854286783291,0.0689812009395955,0.125713403581506
Cerebellum,GO:0006260,DNA replication,1,1,1.06780095603069,1.06780095603069,1,0,1.0,1,1.07108137632542,0.284132841328411,0.391466445733223
Colon,GO:0006260,DNA replication,1,1,1.06008511337687,1.06008511337687,1,0,1.0,1,1.06900398602301,0.285067873303167,0.391466445733223
Kidney,GO:0006260,DNA replication,4,9,0.880302231617206,0.741525782305418,2,2,0.5,1,3.00046229355795,0.0026957012736134,0.0071035371399273
Heart,GO:0006260,DNA replication,1,1,0.875282790918055,0.875282790918055,1,0,1.0,1,0.199977012849277,0.84149855907781,0.894235525995492
Eye,GO:0006260,DNA replication,2,2,0.847606234757364,0.847606234757364,2,0,0.5,1,0.320560208420232,0.748543696453533,0.831715218281703
Dorsal skin,GO:0006260,DNA replication,2,5,0.187699481765324,0.187699481765324,1,1,1.0,1,-1.35075579167623,0.176773673767542,0.275766931077366
Extensor digitorum longus,GO:0006260,DNA replication,2,2,0.143518962418145,0.143518962418145,1,1,1.0,1,1.05060914663171,0.293438138451613,0.400142916070381
Lung,GO:0006260,DNA replication,1,2,0.0881484507939085,0.0881484507939085,1,0,1.0,1,0.279104221993632,0.780164843150467,0.852280921088745
Mammary gland,GO:0006260,DNA replication,1,2,0.0310939534645175,0.0310939534645175,1,0,1.0,1,0.0715355420364795,0.942971538548546,0.967786579036666
Adrenal gland,GO:0006260,DNA replication,2,2,0.0295981672737775,0.0295981672737775,1,1,1.0,1,0.172681449969528,0.862901825516763,0.908466505833756
Soleus,GO:0006260,DNA replication,3,3,-0.0257992069088753,-0.974623983578036,1,2,1.0,1,2.34697713964723,0.0189264159600395,0.0403349848328711
Liver,GO:0006260,DNA replication,3,5,-0.08301079100063,-0.16515508805271,1,2,0.75,1,-0.421910207712125,0.673090559024502,0.769810316772891
Retina,GO:0006260,DNA replication,4,4,-0.298388495495881,-0.311859207874653,2,2,0.75,1,-3.36151670194679,0.0007751566848805,0.0021749000511036
Gastrocnemius,GO:0006260,DNA replication,1,2,-1.14702787766138,-1.14702787766138,0,1,1.0,1,-1.44159555431872,0.149416503330175,0.241794341488666
Heart / Heart right ventricle,GO:0006260,DNA replication,1,2,-1.37281334115017,-1.37281334115017,0,1,1.0,1,-2.69864018005874,0.0069623408785247,0.0168652977802774
Bone marrow,GO:0006260,DNA replication,1,1,-1.51117721754617,-1.51117721754617,0,1,1.0,1,-3.60488077756704,0.0003122962594854,0.0009368887784563
Spleen-distal,GO:0006260,DNA replication,1,1,-1.55952893241325,-1.55952893241325,0,1,1.0,1,-3.61083289028862,0.000305215278656,0.0009227438657041
Cecum,GO:0006260,DNA replication,1,1,-1.98123515496875,-1.98123515496875,0,1,1.0,1,-6.21722908347822,5.06010758274984e-10,3.1829708988265104e-09
Femoral skin,GO:0006260,DNA replication,1,1,-2.31606992251901,-2.31606992251901,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Thymus,GO:0006260,DNA replication,3,4,-3.02976777468497,-2.70796620233543,0,3,0.25,1,-11.2010878531634,4.02757077303295e-29,3.92688150370713e-27
Quadriceps femoris,GO:0006351,DNA-templated transcription,1,1,1.59417968365714,1.59417968365714,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Kidney,GO:0006351,DNA-templated transcription,4,9,1.5668096104171,1.3079625962957,3,1,0.25,1,8.23851358283788,1.74363271086523e-16,5.230898132595681e-15
Heart / Heart right ventricle,GO:0006351,DNA-templated transcription,1,2,1.53210257314919,1.53210257314919,1,0,1.0,1,6.09875514095748,1.0689766903875202e-09,6.13089572428136e-09
Colon,GO:0006351,DNA-templated transcription,1,1,1.53024525852495,1.53024525852495,1,0,1.0,1,6.31750376851966,2.65821960665684e-10,1.8246482746141202e-09
Tibialis anterior,GO:0006351,DNA-templated transcription,1,1,1.48487239014869,1.48487239014869,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Spleen-distal,GO:0006351,DNA-templated transcription,1,1,1.38901185284933,1.38901185284933,1,0,1.0,1,6.05041372728,1.4447431692142202e-09,8.049283371336361e-09
Optic nerve,GO:0006351,DNA-templated transcription,1,1,1.3714601938086,1.3714601938086,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Soleus,GO:0006351,DNA-templated transcription,3,3,1.3101324875869,1.33659660526823,3,0,0.25,1,9.35116160598619,8.66903383149187e-21,2.81743599523486e-19
Cecum,GO:0006351,DNA-templated transcription,1,1,1.24199469164296,1.24199469164296,1,0,1.0,1,4.23231708213453,2.3129600779774e-05,8.59099457534461e-05
Femoral lateral skin,GO:0006351,DNA-templated transcription,1,1,1.22773984654556,1.22773984654556,1,0,1.0,1,3.95854196228961,7.54086938222339e-05,0.0002535292292299
Spleen,GO:0006351,DNA-templated transcription,1,1,1.19577650573114,1.19577650573114,1,0,1.0,1,3.4278341330797,0.0006084170687314,0.0017447254176857
Heart,GO:0006351,DNA-templated transcription,1,1,1.06909909242953,1.06909909242953,1,0,1.0,1,2.16709701408865,0.0302274575596771,0.0604549151193541
Dorsal skin,GO:0006351,DNA-templated transcription,2,5,0.443368953881061,0.443368953881061,1,1,1.0,1,0.0,1.0,1.0
Extensor digitorum longus,GO:0006351,DNA-templated transcription,2,2,0.11472485168341,0.11472485168341,1,1,1.0,1,1.17940106406632,0.238238511629844,0.340340730899777
Gastrocnemius,GO:0006351,DNA-templated transcription,1,2,0.0197604561514401,0.0197604561514401,1,0,1.0,1,0.187330980111335,0.851401134303237,0.902300115158321
Left lobe of the liver,GO:0006351,DNA-templated transcription,2,3,-0.0324510346236749,-0.0324510346236749,1,1,1.0,1,-1.20545237328713,0.228028713485333,0.33183282932567
Mammary gland,GO:0006351,DNA-templated transcription,1,2,-0.165439621642165,-0.165439621642165,0,1,1.0,1,-2.33264152218849,0.0196669677434041,0.041685420760476
Adrenal gland,GO:0006351,DNA-templated transcription,2,2,-0.30266061043652,-0.30266061043652,1,1,1.0,1,-1.8578700076339,0.0631874764661559,0.115695379445074
Liver,GO:0006351,DNA-templated transcription,3,5,-0.353685177276404,-1.07050975954584,1,2,1.0,1,-0.921158763262034,0.35696754408651,0.475144512606618
Retina,GO:0006351,DNA-templated transcription,4,4,-0.738967360735833,-1.25616229024096,1,3,0.375,1,-4.54126919999635,5.59165778119157e-06,2.24819230377806e-05
Bone marrow,GO:0006351,DNA-templated transcription,1,1,-1.15264842226011,-1.15264842226011,0,1,1.0,1,-3.4827444268537,0.0004963019220579,0.0014337611081675
Cerebellum,GO:0006351,DNA-templated transcription,1,1,-1.28642677733801,-1.28642677733801,0,1,1.0,1,-5.20003236016897,1.99253832455855e-07,9.25991039838367e-07
Eye,GO:0006351,DNA-templated transcription,2,2,-1.32219688211287,-1.32219688211287,0,2,0.5,1,-5.85022234472068,4.90916318419349e-09,2.62270361895269e-08
Femoral skin,GO:0006351,DNA-templated transcription,1,1,-1.39391324183491,-1.39391324183491,0,1,1.0,1,-4.4654765694852,7.98907157066232e-06,3.14721001268516e-05
Lung,GO:0006351,DNA-templated transcription,1,2,-1.70301718088834,-1.70301718088834,0,1,1.0,1,-3.74942639130337,0.0001772395096416,0.00056197893301
Thymus,GO:0006351,DNA-templated transcription,3,4,-1.88781956931551,-1.51016254713979,0,3,0.25,1,-9.90778310664107,3.8509596408979604e-23,1.6687491777224501e-21
Femoral lateral skin,GO:0006412,Translation,1,1,2.55714039757021,2.55714039757021,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Mammary gland,GO:0006412,Translation,1,2,2.36232135181035,2.36232135181035,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Bone marrow,GO:0006412,Translation,1,1,2.34117330443758,2.34117330443758,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Optic nerve,GO:0006412,Translation,1,1,1.66966369667684,1.66966369667684,1,0,1.0,1,6.31700592438951,2.66679363212832e-10,1.8246482746141202e-09
Colon,GO:0006412,Translation,1,1,1.37197631362611,1.37197631362611,1,0,1.0,1,4.0643231085676,4.8172056003792e-05,0.0001707918349225
Left lobe of the liver,GO:0006412,Translation,2,3,1.24675207022019,1.24675207022019,2,0,0.5,1,3.5911037271227,0.0003292805438801,0.0009803008558262
Extensor digitorum longus,GO:0006412,Translation,2,2,1.16445502459573,1.16445502459573,2,0,0.5,1,2.6018401372833,0.009272506411601,0.0217848042200267
Tibialis anterior,GO:0006412,Translation,1,1,1.00323642492874,1.00323642492874,1,0,1.0,1,0.753652017062053,0.451058201058201,0.567460317460318
Liver,GO:0006412,Translation,3,5,0.45716670646595,0.4060351325294,2,1,0.5,1,1.72451292280087,0.0846152880904562,0.150684759613141
Adrenal gland,GO:0006412,Translation,2,2,0.353560104403415,0.353560104403415,1,1,1.0,1,3.73190855230183,0.0001900344935657,0.000592907619925
Lung,GO:0006412,Translation,1,2,0.17762631768242,0.17762631768242,1,0,1.0,1,1.26500336416069,0.205870121913305,0.309997480873317
Gastrocnemius,GO:0006412,Translation,1,2,0.034639968316045,0.034639968316045,1,0,1.0,1,0.25474970031924,0.798916426988611,0.863233605880387
Eye,GO:0006412,Translation,2,2,-0.248676212883175,-0.248676212883175,1,1,1.0,1,0.0,1.0,1.0
Soleus,GO:0006412,Translation,3,3,-0.270769582420307,-1.28813778743274,1,2,1.0,1,-1.31851665202621,0.187330754422852,0.28763383553115
Dorsal skin,GO:0006412,Translation,2,5,-0.418696041837411,-0.418696041837411,1,1,1.0,1,-3.41913498348829,0.0006282055445859,0.0017883223532008
Kidney,GO:0006412,Translation,4,9,-0.715487457774342,-1.61798424593712,1,3,0.625,1,-5.28395933969677,1.26421321985997e-07,6.01272141152913e-07
Heart,GO:0006412,Translation,1,1,-0.949233892455626,-0.949233892455626,0,1,1.0,1,-0.435576547684371,0.663143989431969,0.765166141652271
Cerebellum,GO:0006412,Translation,1,1,-1.23521424430051,-1.23521424430051,0,1,1.0,1,-2.66952759303829,0.0075958031717353,0.0180851846739443
Heart / Heart right ventricle,GO:0006412,Translation,1,2,-1.38237769508111,-1.38237769508111,0,1,1.0,1,-3.5459074147008,0.0003912636489366,0.0011560062354945
Spleen-distal,GO:0006412,Translation,1,1,-1.42216219092431,-1.42216219092431,0,1,1.0,1,-4.08966107557662,4.32003976643101e-05,0.000154570230175
Quadriceps femoris,GO:0006412,Translation,1,1,-1.50727640271743,-1.50727640271743,0,1,1.0,1,-4.84690651829532,1.25401479896959e-06,5.37434913844111e-06
Femoral skin,GO:0006412,Translation,1,1,-1.6504733902082,-1.6504733902082,0,1,1.0,1,-5.70229393105023,1.18205769279338e-08,6.1467000025256e-08
Retina,GO:0006412,Translation,4,4,-1.72335669142717,-1.67384314685519,0,4,0.125,1,-7.98689343637584,1.3838161157759999e-15,3.59792190101761e-14
Thymus,GO:0006412,Translation,3,4,-1.96616652481454,-2.06178346573619,0,3,0.25,1,-9.94041731563006,2.7766147001693403e-23,1.35359966633255e-21
Spleen,GO:0006412,Translation,1,1,-2.21572659900059,-2.21572659900059,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Cecum,GO:0006412,Translation,1,1,-2.45567563644136,-2.45567563644136,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Femoral lateral skin,GO:0005739,Mitochondrion,1,1,3.04604911712614,3.04604911712614,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Mammary gland,GO:0005739,Mitochondrion,1,2,2.94160539758036,2.94160539758036,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Bone marrow,GO:0005739,Mitochondrion,1,1,2.3425001457027,2.3425001457027,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Adrenal gland,GO:0005739,Mitochondrion,2,2,1.76578258159525,1.76578258159525,2,0,0.5,1,4.57516948736105,4.75834613333215e-06,1.93307811666618e-05
Lung,GO:0005739,Mitochondrion,1,2,1.6816402928872,1.6816402928872,1,0,1.0,1,3.37805805955666,0.0007299966617171,0.0020630340439832
Heart,GO:0005739,Mitochondrion,1,1,1.62523893848274,1.62523893848274,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Colon,GO:0005739,Mitochondrion,1,1,1.51463016232855,1.51463016232855,1,0,1.0,1,6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Extensor digitorum longus,GO:0005739,Mitochondrion,2,2,1.40101571155039,1.40101571155039,2,0,0.5,1,7.51764117356348,5.57733218275187e-14,1.27950561839602e-12
Liver,GO:0005739,Mitochondrion,3,5,0.46334072957124,0.27873633906481,3,0,0.25,1,0.556232406419396,0.578051988359808,0.687317912988796
Left lobe of the liver,GO:0005739,Mitochondrion,2,3,0.397290276132713,0.397290276132713,1,1,1.0,1,0.633469125747551,0.526427336407956,0.632558139534884
Thymus,GO:0005739,Mitochondrion,3,4,0.142005743754033,-0.30953002741247,1,2,1.0,1,0.254583971418933,0.799044440314922,0.863233605880387
Gastrocnemius,GO:0005739,Mitochondrion,1,2,0.0854011178655201,0.0854011178655201,1,0,1.0,1,0.93216681477518,0.351250322604694,0.470747855037218
Eye,GO:0005739,Mitochondrion,2,2,-0.212212069457895,-0.212212069457895,1,1,1.0,1,0.0,1.0,1.0
Kidney,GO:0005739,Mitochondrion,4,9,-0.897824452918814,-1.36268975263666,1,3,0.375,1,-4.69332554156365,2.68799228215807e-06,1.11523084046984e-05
Cerebellum,GO:0005739,Mitochondrion,1,1,-1.09353217221613,-1.09353217221613,0,1,1.0,1,-1.89351520288761,0.0582893884017915,0.108769672137314
Tibialis anterior,GO:0005739,Mitochondrion,1,1,-1.12413873514532,-1.12413873514532,0,1,1.0,1,-2.3875386497559,0.0169616191730836,0.0365471352348211
Heart / Heart right ventricle,GO:0005739,Mitochondrion,1,2,-1.46534148409541,-1.46534148409541,0,1,1.0,1,-6.30007178720666,2.97507823504e-10,2.0004836408027604e-09
Optic nerve,GO:0005739,Mitochondrion,1,1,-1.4744117162032,-1.4744117162032,0,1,1.0,1,-4.03690266232234,5.41615271953254e-05,0.0001885981750551
Spleen-distal,GO:0005739,Mitochondrion,1,1,-1.50165882018836,-1.50165882018836,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Dorsal skin,GO:0005739,Mitochondrion,2,5,-1.66829140031936,-1.66829140031936,0,2,0.5,1,-7.35882791063025,1.85532024293804e-13,4.0198605263657395e-12
Spleen,GO:0005739,Mitochondrion,1,1,-1.68986637191135,-1.68986637191135,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Retina,GO:0005739,Mitochondrion,4,4,-1.71070392194541,-1.58683890513089,0,4,0.125,1,-10.8874864992421,1.32239659672186e-27,1.0314693454430501e-25
Cecum,GO:0005739,Mitochondrion,1,1,-1.78935748607368,-1.78935748607368,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Quadriceps femoris,GO:0005739,Mitochondrion,1,1,-1.99490083147885,-1.99490083147885,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Soleus,GO:0005739,Mitochondrion,3,3,-2.10895064440167,-2.43134451122025,0,3,0.25,1,-10.7279592229346,7.52394399714356e-27,4.89056359814332e-25
Femoral skin,GO:0005739,Mitochondrion,1,1,-2.23755449867001,-2.23755449867001,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Thymus,GO:0050954,Sensory perception of mechanical stimulus,3,4,1.73883759340274,1.83648451979348,3,0,0.25,1,7.58108902856022,3.42666348479819e-14,8.35249224419558e-13
Cecum,GO:0050954,Sensory perception of mechanical stimulus,1,1,1.68126526403015,1.68126526403015,1,0,1.0,1,4.02249622792884,5.75845767288166e-05,0.0001986143101554
Gastrocnemius,GO:0050954,Sensory perception of mechanical stimulus,1,2,1.56424727873414,1.56424727873414,1,0,1.0,1,3.31858901862348,0.0009047347985167,0.0024848350100107
Spleen,GO:0050954,Sensory perception of mechanical stimulus,1,1,1.37190409740171,1.37190409740171,1,0,1.0,1,2.4303585030786,0.0150838945089808,0.0330489823511378
Colon,GO:0050954,Sensory perception of mechanical stimulus,1,1,1.22849565749365,1.22849565749365,1,0,1.0,1,1.79610381418824,0.0724780079579142,0.131471735365519
Spleen-distal,GO:0050954,Sensory perception of mechanical stimulus,1,1,1.21690040091371,1.21690040091371,1,0,1.0,1,1.64830168016263,0.0992907801418439,0.169839492347891
Femoral lateral skin,GO:0050954,Sensory perception of mechanical stimulus,1,1,1.10644739148459,1.10644739148459,1,0,1.0,1,1.28380256650321,0.199211045364891,0.302304699191857
Heart / Heart right ventricle,GO:0050954,Sensory perception of mechanical stimulus,1,2,1.06620138048818,1.06620138048818,1,0,1.0,1,1.01695943036446,0.309172729403717,0.418671404400867
Optic nerve,GO:0050954,Sensory perception of mechanical stimulus,1,1,1.06381872074465,1.06381872074465,1,0,1.0,1,0.978829159961425,0.327664399092971,0.4421768707483
Lung,GO:0050954,Sensory perception of mechanical stimulus,1,2,1.02974934944731,1.02974934944731,1,0,1.0,1,0.851815957361109,0.394316248202803,0.512570546539457
Adrenal gland,GO:0050954,Sensory perception of mechanical stimulus,2,2,1.01749243916649,1.01749243916649,2,0,0.5,1,1.16636511956836,0.243466854813595,0.346540413785774
Femoral skin,GO:0050954,Sensory perception of mechanical stimulus,1,1,0.933338681352138,0.933338681352138,1,0,1.0,1,0.481921119691943,0.629861982434128,0.737676195643573
Dorsal skin,GO:0050954,Sensory perception of mechanical stimulus,2,5,0.552351880025728,0.552351880025728,2,0,0.5,1,0.735617038223308,0.461963790608296,0.57931150590751
Kidney,GO:0050954,Sensory perception of mechanical stimulus,4,9,0.440178736073964,0.7654838508151,3,1,0.375,1,2.18821638624125,0.0286538440548092,0.0579015501625677
Soleus,GO:0050954,Sensory perception of mechanical stimulus,3,3,0.42315679253981,1.30957678857729,2,1,1.0,1,1.19122033571836,0.233567098296223,0.336129772455819
Extensor digitorum longus,GO:0050954,Sensory perception of mechanical stimulus,2,2,0.140086485938635,0.140086485938635,1,1,1.0,1,0.770365523551845,0.441083098463657,0.562164733336033
Left lobe of the liver,GO:0050954,Sensory perception of mechanical stimulus,2,3,-0.533558327969839,-0.533558327969839,0,2,0.5,1,-0.762143459246813,0.445974387235004,0.566547267171503
Retina,GO:0050954,Sensory perception of mechanical stimulus,4,4,-0.566938150199365,-0.949566838339415,1,3,0.5,1,-1.47965565472457,0.138965165718238,0.227716027857617
Liver,GO:0050954,Sensory perception of mechanical stimulus,3,5,-0.843051906861818,-1.10112762070364,0,3,0.25,1,-2.10586889799046,0.0352157419917705,0.0693643402868206
Cerebellum,GO:0050954,Sensory perception of mechanical stimulus,1,1,-0.918140371150499,-0.918140371150499,0,1,1.0,1,-0.361127229813046,0.718004338394794,0.806978939406253
Bone marrow,GO:0050954,Sensory perception of mechanical stimulus,1,1,-0.975640362823548,-0.975640362823548,0,1,1.0,1,-0.676359614656954,0.498812351543943,0.611594946316383
Heart,GO:0050954,Sensory perception of mechanical stimulus,1,1,-1.02897655184188,-1.02897655184188,0,1,1.0,1,-0.849753922005578,0.395461912479741,0.512570546539457
Tibialis anterior,GO:0050954,Sensory perception of mechanical stimulus,1,1,-1.19666189144517,-1.19666189144517,0,1,1.0,1,-1.62791818779925,0.103542234332425,0.176338303011554
Quadriceps femoris,GO:0050954,Sensory perception of mechanical stimulus,1,1,-1.32289814015597,-1.32289814015597,0,1,1.0,1,-2.41996972889902,0.0155217991623036,0.0338184451022258
Mammary gland,GO:0050954,Sensory perception of mechanical stimulus,1,2,-1.35472043892862,-1.35472043892862,0,1,1.0,1,-2.40780599272861,0.016048706899077,0.0347721982813335
