Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Cecum,BER,ENSMUSG00000032298,Neil1,72774,-0.0177781822728209,0.966085814628614,1.0,1,1,5
Cecum,BER,ENSMUSG00000035960,Apex1,11792,0.400890789520451,0.238025572274863,1.0,1,1,5
Cecum,BER,ENSMUSG00000002963,Pnkp,59047,-0.023577339354623,0.894739830679215,1.0,1,1,5
Cecum,BER,ENSMUSG00000024742,Fen1,14156,-0.0471607130887114,0.883435166156276,1.0,1,1,5
Cecum,NER,ENSMUSG00000028329,Xpa,22590,-0.126929988750896,0.641288659247432,1.0,1,1,5
Cecum,NER,ENSMUSG00000030094,Xpc,22591,-0.11278674745029,0.444936145883587,1.0,1,1,5
Cecum,NER,ENSMUSG00000028426,Rad23b,19359,0.13291784845895,0.495834557399109,1.0,1,1,5
Cecum,NER,ENSMUSG00000031347,Cetn2,26370,-0.171280209245331,0.669841112844619,1.0,1,1,5
Cecum,NER,ENSMUSG00000021694,Ercc8,71991,0.100836639171524,0.612748355391615,1.0,1,1,5
Cecum,NER,ENSMUSG00000054051,Ercc6,319955,-0.0090567823023055,0.965988793709835,1.0,1,1,5
Cecum,NER,ENSMUSG00000024740,Ddb1,13194,0.105150161481394,0.33140955089029,1.0,1,1,5
Cecum,NER,ENSMUSG00000002109,Ddb2,107986,-0.221902008007575,0.367502024745088,1.0,1,1,5
Cecum,NER,ENSMUSG00000024382,Ercc3,13872,0.0907062124786466,0.449930974480378,1.0,1,1,5
Cecum,NER,ENSMUSG00000030400,Ercc2,13871,-0.0387012326844043,0.909297820615964,1.0,1,1,5
Cecum,NER,ENSMUSG00000034345,Gtf2h5,66467,-0.169894659956507,0.588530933892284,1.0,1,1,5
Cecum,NER,ENSMUSG00000029387,Gtf2h3,209357,-0.0614465773331818,0.745516938128707,1.0,1,1,5
Cecum,NER,ENSMUSG00000021639,Gtf2h2,23894,-0.0821494480655728,0.682082093300294,1.0,1,1,5
Cecum,NER,ENSMUSG00000001524,Gtf2h4,14885,-0.304297826022942,0.332439963900543,1.0,1,1,5
Cecum,NER,ENSMUSG00000006599,Gtf2h1,14884,-0.0085105698935134,0.958117130349997,1.0,1,1,5
Cecum,NER,ENSMUSG00000003549,Ercc1,13870,0.0085465554382576,0.974958261298723,1.0,1,1,5
Cecum,NER,ENSMUSG00000022545,Ercc4,50505,-0.167439847928681,0.377280568439748,1.0,1,1,5
Cecum,NER,ENSMUSG00000026048,Ercc5,22592,-0.284242720125544,0.0810316175942382,1.0,1,1,5
Cecum,MMR,ENSMUSG00000032498,Mlh1,17350,0.157765757313355,0.707605194222515,1.0,1,1,5
Cecum,MMR,ENSMUSG00000024151,Msh2,17685,0.100134765060431,0.629593721757908,1.0,1,1,5
Cecum,MMR,ENSMUSG00000014850,Msh3,17686,-0.0319434005117356,0.872406195196672,1.0,1,1,5
Cecum,MMR,ENSMUSG00000005370,Msh6,17688,0.119164001033809,0.657163458380436,1.0,1,1,5
Cecum,MMR,ENSMUSG00000079109,Pms2,18861,-0.114436790049629,0.631477404005279,1.0,1,1,5
Cecum,FA,ENSMUSG00000032815,Fanca,14087,-0.38214353354195,0.333056858503911,1.0,1,1,5
Cecum,FA,ENSMUSG00000047757,Fancb,237211,-0.144822446215888,0.719149559417091,1.0,1,1,5
Cecum,FA,ENSMUSG00000021461,Fancc,14088,-0.745580739288369,0.0186458616346951,0.909102724566825,1,1,5
Cecum,FA,ENSMUSG00000007570,Fance,72775,-0.25929215068792,0.317489938201031,1.0,1,1,5
Cecum,FA,ENSMUSG00000092118,Fancf,100040608,0.586241724604681,0.0668818837968828,1.0,1,1,5
