analysis_tissue,pathway_1_key,pathway_2_key,fisher_z,z_capped
Retina,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.34040490340005225,False
Soleus,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.13392186511605833,False
Spleen,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.13413199329733966,False
Spleen-distal,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.3704200119626004,False
Thymus,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.7195020887697094,False
Tibialis anterior,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.6931471805599453,False
Adrenal gland,DNA_damage_response_GO0006974,translation_GO0006412,0.32529378307057466,False
Bone marrow,DNA_damage_response_GO0006974,translation_GO0006412,1.1835618070658085,False
Cecum,DNA_damage_response_GO0006974,translation_GO0006412,1.4722194895832204,False
Cerebellum,DNA_damage_response_GO0006974,translation_GO0006412,1.0539397385001847,False
Dorsal skin,DNA_damage_response_GO0006974,translation_GO0006412,1.3871222737868758,False
Extensor digitorum longus,DNA_damage_response_GO0006974,translation_GO0006412,0.028579206919974304,False
Eye,DNA_damage_response_GO0006974,translation_GO0006412,0.41287265100073467,False
Femoral lateral skin,DNA_damage_response_GO0006974,translation_GO0006412,1.1989476363991853,False
Gastrocnemius,DNA_damage_response_GO0006974,translation_GO0006412,0.41645456146755194,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,translation_GO0006412,-0.638146732952781,False
Kidney,DNA_damage_response_GO0006974,translation_GO0006412,0.13075452813076607,False
Left lobe of the liver,DNA_damage_response_GO0006974,translation_GO0006412,0.020002667306849582,False
Liver,DNA_damage_response_GO0006974,translation_GO0006412,-0.11453328480866591,False
Lung,DNA_damage_response_GO0006974,translation_GO0006412,0.6931471805599453,False
Mammary gland,DNA_damage_response_GO0006974,translation_GO0006412,0.521410464519847,False
Optic nerve,DNA_damage_response_GO0006974,translation_GO0006412,0.42364893019360184,False
Quadriceps femoris,DNA_damage_response_GO0006974,translation_GO0006412,0.30951960420311175,False
Retina,DNA_damage_response_GO0006974,translation_GO0006412,0.3500116052008268,False
Soleus,DNA_damage_response_GO0006974,translation_GO0006412,0.45778422471516556,False
Spleen,DNA_damage_response_GO0006974,translation_GO0006412,0.6675005333661701,False
Spleen-distal,DNA_damage_response_GO0006974,translation_GO0006412,1.2727656358022175,False
Thymus,DNA_damage_response_GO0006974,translation_GO0006412,0.29589271991994803,False
Tibialis anterior,DNA_damage_response_GO0006974,translation_GO0006412,-0.06676569631226131,False
Adrenal gland,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.17087464686102835,False
Bone marrow,DNA_damage_response_GO0006974,mitochondrion_GO0005739,1.023846421682628,False
Cecum,DNA_damage_response_GO0006974,mitochondrion_GO0005739,-0.42364893019360184,False
Cerebellum,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.9359010884507956,False
Dorsal skin,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.5022039989173311,False
