accession,title,flight_program,mission_name,doi,description
OSD-464,Transcriptional profiling of lungs from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/amwe-bg72,"The objective of the RR-23 mission was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Lungs were preserved by flash freezing in liquid nitrogen and stored at -80 ˚C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 8 samples from the Flight group, 9 samples from the VGC group, and 6 samples from the HGC group."
OSD-47,"Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",International Space Station (ISS),SpaceX-4,10.26030/k5c1-jd05,"The Rodent Reasearch-1 National Lab (RR-1 CASIS) experiment was performed to study the effect of microgravity on muscle wasting. RNA, DNA, and protein were purified from RR-1 CASIS (the Center for the Advancement of Science in Space) liver samples. Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch). RNA-Seq, whole genome BS-Seq (bisulfite sequencing) and proteomic expression profiling were performed."
OSD-48,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",,SpaceX-4,10.26030/jq04-0n51,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new knowledge on potential systemic responses to space. Unbiased systems biology analysis of transcriptomic data from seven different rodent datasets reveals for the first time the existence of potential 'master regulators' coordinating a systemic response to microgravity and/or space radiation with TGF-β1 being the most common regulator. We hypothesized the space environment leads to the release of biomolecules circulating inside the blood stream. Through datamining we identified 13 candidate microRNAs (miRNA) which are common in all studies and directly interact with TGF-β1 that can be potential circulating factors impacting space biology. This study exemplifies the utility of the GeneLab data repository to aid in the process of performing novel hypothesis-based research.
OSD-506,Transcriptional profiling of spleens from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/vehs-1078,"The objective of the Rodent Research-23 missions (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Spleens were preserved by immersion in RNAlater and stored at -80C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 10 samples from the HGC group, and 9 samples from the VGC group."
OSD-511,Transcriptional profiling of mammary glands from mice flown on the RRRM-1 mission,International Space Station (ISS),SpaceX-16,10.26030/wdpr-va45,"In Rodent Research Reference Mission-1 (RRRM-1), also known as RR-8, forty female BALB/cAnNTac mice were flown on the International Space Station. To assess differences in outcomes due to age, twenty 10-12 week-old and twenty 32 week-old mice were flown, respectively. To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice. Both the ISS-T and LAR animals had independent ground controls (10 mice housed in flight hardware in matched environmental conditions), basal controls (10 mice sacrificed 1 day after launch), and vivarium controls (10 mice housed within standard vivarium habitats). Thus RRRM-1 included a total of 160 mice. This datasets features ribodepleted total RNA-seq data from mammary glands dissected from six LAR groups (young and old for flight, ground control, and vivarium control). Data from 5-10 livers per group are included. All samples include either Mix 1 or Mix 2 of the ERCC spike-in control. Target depth was 60 M clusters sequenced at PE 151 bp."
OSD-512,Transcriptional profiling of adrenal glands from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/ezh0-7355,"The objective of the Rodent Research-23 missions (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Adrenal glands were preserved by immersion in liquid nitrogen and stored at -80C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 10 samples from the Flight group, 10 samples from the HGC group, and 10 samples from the VGC group."
OSD-513,Transcriptional profiling of kidneys from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/pprb-6227,"The objective of the Rodent Research-23 missions (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Kidneys were preserved by immersion in RNAlater and stored at -80 ˚C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 9 samples from the HGC group, and 9 samples from the VGC group. A technical replicate is included for one sample in each group. These consist of an independent library preparation for a single RNA extraction."
OSD-515,Transcriptional profiling of thymus from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/05j9-e312,"The objective of the Rodent Research-23 missions (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Thymus tissues were preserved by immersion in liquid nitrogen and stored at -80 ˚C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 9 samples from the HGC group, and 9 samples from the VGC group. A technical replicate is included for one sample in each group. These consist of an independent library preparation for a single RNA extraction."
OSD-525,Transcriptional profiling of cerebellums from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/3r5e-6b84,"The objective of the Rodent Research-23 missions (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Cerebellums were preserved by immersion in RNAlater and stored at -80 ˚C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 9 samples from the HGC group, and 8 samples from the VGC group. A technical replicate is included for one sample in each group. These consist of an independent library preparation for a single RNA extraction."
OSD-576,Transcriptional profiling of tibialis anterior muscle from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/zw7z-bj40,"The objective of the Rodent Research-23 mission (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the International Space Station (ISS) on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (January 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Right tibialis anterior muscle samples were preserved by immersion in liquid nitrogen and stored at -80C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 9 samples from the HGC group, and 9 samples from the VGC group."
OSD-580,Transcriptional profiling of heart tissue from mice flown on the RRRM-2 mission,International Space Station (ISS),SpaceX-18,10.26030/rrq0-wv29,"In the Rodent Research Reference Mission (RRRM-2), forty female C57BL/6NTac mice were flown on the International Space Station. To assess differences in outcomes due to age, twenty 12 week-old and twenty 29 week-old mice were flown, respectively. To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice. ISS-T and LAR mice were the same age at sacrifice. Both the ISS-T and LAR animals had independent ground controls (GC; 10 mice per group housed in flight hardware in matched environmental conditions), basal controls (BSL; 10 mice per group sacrificed 2 days before launch), and vivarium controls (VIV; 10 mice per group housed within standard vivarium habitats). Thus RRRM-2 included a total of 160 mice. This study includes bulk RNA sequencing ribodepleted gene expression data from hearts from 5 old and 5 young animals from each of the following groups: LAR basal, LAR ground control, LAR vivarium control, LAR flight, ISS-T basal, ISS-T ground control, and ISS-T flight. The ISS-T vivarium control young group has only 3 animals due to quality control issues."
OSD-599,Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station,International Space Station (ISS),NG-11,10.26030/ev5t-0604,"Efforts to understand the impact of spaceflight on the human body stem from growing interest in long-term space travel. Multiple organ systems are affected by microgravity and radiation, including the cardiovascular system. Previous transcriptomic studies have sought to reveal the changes in gene expression after spaceflight. However, little is known about the impact of long-term spaceflight on the mouse heart in vivo. This study focuses on the transcriptomic changes in the hearts of female C57BL/6J mice flown on the International Space Station (ISS) for 30 days. RNA was isolated from the hearts of three flight and three comparable ground control mice and RNA sequencing was performed. Our analyses showed that 1147 transcripts were significantly regulated after spaceflight. The MAPK, PI3K-Akt, and GPCR signaling pathways were predicted to be activated. Transcripts related to cytoskeleton breakdown and organization were upregulated, but no significant change in the expression of extracellular matrix (ECM) components or oxidative stress pathway-associated transcripts occurred. Our results indicate an absence of cellular senescence, and a significant upregulation of transcripts associated with the cell cycle. Transcripts related to cellular maintenance and survival were most affected by spaceflight, suggesting that cardiovascular transcriptome initiates an adaptive response to long-term spaceflight."
OSD-665,Transcriptional profiling of right extensor digitorum longus muscle from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/2bz2-sr51,"The objective of the Rodent Research-23 mission (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the International Space Station (ISS) on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (January 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Right extensor digitorum longus muscle samples were preserved by immersion in liquid nitrogen and stored at -80C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 9 samples from the Habitat Ground Control group, and 9 samples from the Vivarium Ground Control group."
OSD-666,Transcriptional profiling of right quadriceps femoris muscle from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/7c15-jm96,"The objective of the Rodent Research-23 mission (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the International Space Station (ISS) on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (January 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Right quadriceps femoris muscle samples were preserved by immersion in liquid nitrogen and stored at -80C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight group, 9 samples from the Habitat Ground Control group, and 9 samples from the Vivarium Ground Control group."
OSD-667,Transcriptional profiling of colon from mice flown on the RR-10 mission,International Space Station (ISS),SpaceX-21,10.26030/sc50-pp64,"The objective of the Rodent Research-10 mission (RR-10) was to investigate how spaceflight affects the cellular and molecular mechanisms of normal bone tissue regeneration in space. To this end, ten (10) 14-15 weeks-old female B6129SF2/J Wild Type (WT), and ten (10) 14-15 weeks-old female B6;129S2-Cdkn1atm1Tyj/J (p21-null) mice received a pre-flight subcutaneous injection of the bone marker (Alizarin Red), and were then delivered to the ISS aboard SpaceX-21. At 7 days before euthanasia, all 20 mice received an intraperitoneal (IP) injection with a bone formation marker (Calcein). At 48 +/- 2 hours before euthanasia, all 20 mice received an IP injection with a second dose of Calcein as well as a cell proliferation marker (BrdU). Then, following 28-29 days in microgravity, the Flight mice were euthanized. Following removal of hindlimbs, carcasses were wrapped in aluminum foil, preserved in the CryoChiller, and stored at -80 C or colder until return to Earth. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (flight habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups (except Vivarium which included 12 of each strain). These were treated, euthanized and processed on the same schedule and in the same manner as the flight samples. This study includes bulk RNA sequencing ribodepleted gene expression data from 10 Basal animals (5 WT and 5 p21-null), 9 Flight animals (4 WT and 5 p21-null), 10 Ground animals (5 WT and 5 p21-null), and 10 Vivarium animals (5 WT and 5 p21-null)."
OSD-686,Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis,International Space Station (ISS),SpaceX-12,10.26030/vf2f-v411,"Spaceflight induces hepatic damage, partially owing to oxidative stress caused by the space environment such as microgravity and space radiation. We examined the roles of anti-oxidative sulfur-containing compounds on hepatic damage after spaceflight. We analyzed the livers of mice on board the International Space Station for 30 days. During spaceflight, half of the mice were exposed to artificial earth gravity (1 g) using centrifugation cages. Sulfur-metabolomics of the livers of mice after spaceflight revealed a decrease in sulfur antioxidants (ergothioneine, glutathione, cysteine, taurine, thiamine, etc.) and their intermediates (cysteine sulfonic acid, hercynine, N-acethylserine, serine, etc.) compared to the controls on the ground. Furthermore, RNA-sequencing showed upregulation of gene sets related to oxidative stress and sulfur metabolism, and downregulation of gene sets related to glutathione reducibility in the livers of mice after spaceflight, compared to controls on the ground. These changes were partially mitigated by exposure to 1 g centrifugation. For the first time, we observed a decrease in sulfur antioxidants based on a comprehensive analysis of the livers of mice after spaceflight. Our data suggest that a decrease in sulfur-containing compounds owing to both microgravity and other spaceflight environments (radiation and stressors) contributes to liver damage after spaceflight."
OSD-690,Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice,International Space Station (ISS),SpaceX-14,10.26030/sxfs-q389,"Spaceflight-related stresses impact health via various body systems, including the haematopoietic and immune systems, with effects ranging from moderate alterations of homoeostasis to serious illness. Oxidative stress appears to be involved in these changes, and the transcription factor Nrf2, which regulates expression of a set of cytoprotective and antioxidative stress response genes, has been implicated in the response to spaceflight-induced stresses. Here, we show through analyses of mice from the MHU-3 project, in which Nrf2-knockout mice travelled in space for 31 days, that mice lacking Nrf2 suffer more seriously from spaceflight-induced immunosuppression than wild-type mice. We discovered that a one-month spaceflight-triggered the expression of tissue inflammatory marker genes in wild-type mice, an effect that was even more pronounced in the absence of Nrf2. Concomitant with induction of inflammatory conditions, the consumption of coagulation-fibrinolytic factors and platelets was elevated by spaceflight and further accelerated by Nrf2 deficiency. These results highlight that Nrf2 mitigates spaceflight-induced inflammation, subsequent immunosuppression, and thrombotic microangiopathy. These observations reveal a new strategy to relieve health problems encountered during spaceflight."
OSD-714,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,International Space Station (ISS),"SpaceX-9, SpaceX-17, SpaceX-20",10.26030/ty34-at33,"Skeletal muscle is sensitive to gravitational alterations. We recently developed a multiple artificial-gravity research system (MARS), which can generate gravity ranging from microgravity to Earth gravity (1 g) in space. Using the MARS, we studied the effects of three different gravitational levels (microgravity, lunar gravity [1/6 g], and 1 g) on the skeletal muscle mass and myofiber constitution in mice. All mice survived and returned to Earth, and skeletal muscle was collected two days after landing. We observed that microgravity-induced soleus muscle atrophy was prevented by lunar gravity. However, lunar gravity failed to prevent the slow-to-fast myofiber transition in the soleus muscle in space. These results suggest that lunar gravity is enough to maintain proteostasis, but a greater gravitational force is required to prevent the myofiber type transition. Our study proposes that different gravitational thresholds may be required for skeletal muscle adaptation."
OSD-758,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Retina data,International Space Station (ISS),SpaceX-27,10.26030/d6dj-d777,"The development of eye pathology is a serious concern for astronauts that spend time in deep space. Microgravity is a major component of the spaceflight environment, which could have adverse effects on ocular health. The use of centrifugation to restore partial or Earth-like gravity in space is a possible countermeasure to mitigate the effects of microgravity on the eye. Therefore, we subjected mice on the International Space Station (ISS) to artificial gravity by centrifugation at 0, 0.33, 0.67, and 1G, and then performed RNA-seq on optic nerve and retinal tissue after returning them to Earth alive. We find that the microgravity environment induces transcriptomic changes in the optic nerve and retina consistent with an increased oxidative stress load, inflammation, apoptosis, and lipid metabolic stress. Adding artificial gravity on board the ISS can attenuate the transcriptomic response to microgravity in a dose-dependent manner. Such attenuation may effectively mitigate spaceflight-induced detrimental effects on ocular tissue. This study hosts retina data, and OSD-759 hosts optic nerve data."
OSD-759,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Optic nerve data,International Space Station (ISS),SpaceX-27,10.26030/52fc-ph93,"The development of eye pathology is a serious concern for astronauts that spend time in deep space. Microgravity is a major component of the spaceflight environment, which could have adverse effects on ocular health. The use of centrifugation to restore partial or Earth-like gravity in space is a possible countermeasure to mitigate the effects of microgravity on the eye. Therefore, we subjected mice on the International Space Station (ISS) to artificial gravity by centrifugation at 0, 0.33, 0.67, and 1G, and then performed RNA-seq on optic nerve and retinal tissue after returning them to Earth alive. We find that the microgravity environment induces transcriptomic changes in the optic nerve and retina consistent with an increased oxidative stress load, inflammation, apoptosis, and lipid metabolic stress. Adding artificial gravity on board the ISS can attenuate the transcriptomic response to microgravity in a dose-dependent manner. Such attenuation may effectively mitigate spaceflight-induced detrimental effects on ocular tissue. This study hosts optic nerve data, and OSD-758 hosts retina data."
OSD-770,Transcriptional profiling of soleus muscle from mice flown on the RR-23 mission,Rodent Research (RR),SpaceX-21,10.26030/k785-5e59,"The objective of the Rodent Research-23 mission (RR-23) was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the International Space Station (ISS) on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (January 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight (FLT), 20 Habitat Ground Control (GC), and 20 Vivarium Ground Control (VIV) mice were removed from Rodent Transporters (FLT and GC) or vivarium cages (VIV), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Soleus muscle samples were preserved by immersion in liquid nitrogen and stored at -80C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 149 bp). This dataset features 9 samples from the Flight group, 9 samples from the Habitat Ground Control group, and 9 samples from the Vivarium Ground Control group."
OSD-771,Transcriptional profiling of kidney tissue from mice flown on the Rodent Research Reference Mission-2 (RRRM-2),Rodent Research (RR),SpaceX-18,10.26030/003t-2997,"In the Rodent Research Reference Mission (RRRM-2), forty female C57BL/6NTac mice were flown on the International Space Station. To assess differences in outcomes due to age, twenty 12 week-old and twenty 29 week-old mice were flown, respectively. To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice. ISS-T and LAR mice were the same age at sacrifice. Both the ISS-T and LAR animals had independent ground controls (10 mice per group housed in flight hardware in matched environmental conditions), basal controls (10 mice per group sacrificed 2 days before launch), and vivarium controls (10 mice per group housed within standard vivarium habitats). Thus RRRM-2 included a total of 160 mice. This study includes bulk RNA sequencing ribodepleted gene expression data from the kidneys from 5 old and 5 young animals from each of the following groups: LAR basal (BSL), LAR ground control (GC), LAR vivarium control (VIV), LAR flight (FLT), ISS-T basal (BSL), ISS-T ground control (GC), ISS-T vivarium control (VIV), and ISS-T flight (FLT)."
OSD-899,Transcriptional profiling of cecum from mice flown on the RR-10 mission,International Space Station (ISS),SpaceX-21,10.26030/9q7e-sy14,"The objective of the Rodent Research-10 mission (RR-10) was to investigate how spaceflight affects the cellular and molecular mechanisms of normal bone tissue regeneration in space. To this end, ten (10) 14-15 weeks-old female B6129SF2/J Wild Type (WT), and ten (10) 14-15 weeks-old female B6;129S2-Cdkn1atm1Tyj/J (p21-null) mice received a pre-flight subcutaneous injection of the bone marker (Alizarin Red), and were then delivered to the ISS aboard SpaceX-21. At 7 days before euthanasia, all 20 mice received an intraperitoneal (IP) injection with a bone formation marker (Calcein). At 48 +/- 2 hours before euthanasia, all 20 mice received an IP injection with a second dose of Calcein as well as a cell proliferation marker (BrdU). Then, following 28-29 days in microgravity, the Flight mice were euthanized. Following removal of hindlimbs, carcasses were wrapped in aluminum foil, preserved in the CryoChiller, and stored at -80 C or colder until return to Earth. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (flight habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups (except Vivarium which included 12 of each strain). These were treated, euthanized and processed on the same schedule and in the same manner as the flight samples. This study includes bulk RNA sequencing ribodepleted gene expression data from the cecum of 20 Basal animals (10 WT and 10 p21-null), 10 Flight animals (5 WT and 5 p21-null), 10 Ground animals (5 WT and 5 p21-null), and 24 Vivarium animals (12 WT and 12 p21-null)."
OSD-900,Transcriptional profiling of lungs from mice flown on the RR-10 mission,International Space Station (ISS),SpaceX-21,10.26030/4n2m-h509,"The objective of the Rodent Research-10 mission (RR-10) was to investigate how spaceflight affects the cellular and molecular mechanisms of normal bone tissue regeneration in space. To this end, ten (10) 14-15 weeks-old female B6129SF2/J Wild Type (WT), and ten (10) 14-15 weeks-old female B6;129S2-Cdkn1atm1Tyj/J (p21-null) mice received a pre-flight subcutaneous injection of the bone marker (Alizarin Red), and were then delivered to the ISS aboard SpaceX-21. At 7 days before euthanasia, all 20 mice received an intraperitoneal (IP) injection with a bone formation marker (Calcein). At 48 +/- 2 hours before euthanasia, all 20 mice received an IP injection with a second dose of Calcein as well as a cell proliferation marker (BrdU). Then, following 28-29 days in microgravity, the Flight mice were euthanized. Following removal of hindlimbs, carcasses were wrapped in aluminum foil, preserved in the CryoChiller, and stored at -80 C or colder until return to Earth. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (flight habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups (except Vivarium which included 12 of each strain). These were treated, euthanized and processed on the same schedule and in the same manner as the flight samples. This study includes bulk RNA sequencing ribodepleted gene expression data from the lungs of 12 Basal animals (6 WT and 6 p21-null), 10 Flight animals (5 WT and 5 p21-null), 10 Ground animals (5 WT and 5 p21-null), and 10 Vivarium animals (5 WT and 5 p21-null)."
