ComponentOrder,Group,Pathway,PathwayOrder,PathwayDisplay,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,DisplayComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,TissueYARNNormalizedLog2,TissueInputExpressionLog2,TissueSourceExpressionPlus1,MissionN,ObservedMissionN,AnalysisUnitN,FlightSampleN,TissueChinese,TissueLabel,TissueOrder,LookupMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotPathwayDisplay,PlotComponentOrder
34,Left lobe of the liver,BER,5,BER,5,APE1,reviewed teacher label/alias -> official mouse symbol,Apex1,Apex1,ENSMUSG00000035960,MGI:88042,11792,9.40357991142109,9.4332810749752,851.980632509873,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Apex1,protein_coding,SSB_others,5,BER,33
35,Left lobe of the liver,BER,5,BER,6,PNKP,reviewed teacher label/alias -> official mouse symbol,Pnkp,Pnkp,ENSMUSG00000002963,MGI:1891698,59047,9.37912547563254,9.39959104650586,798.868394110989,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Pnkp,protein_coding,SSB_others,6,BER,34
36,Left lobe of the liver,BER,5,BER,7,FEN1,reviewed teacher label/alias -> official mouse symbol,Fen1,Fen1,ENSMUSG00000024742,MGI:102779,14156,6.56462898317311,6.45364644899193,96.2125863691387,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Fen1,protein_coding,SSB_others,7,BER,35
37,Left lobe of the liver,NER,6,NER,1,XPA,reviewed teacher label/alias -> official mouse symbol,Xpa,Xpa,ENSMUSG00000028329,MGI:99135,22590,8.72460380046593,8.72545928944773,505.495870328349,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Xpa,protein_coding,SSB_others,8,NER,36
38,Left lobe of the liver,NER,6,NER,2,XPC,reviewed teacher label/alias -> official mouse symbol,Xpc,Xpc,ENSMUSG00000030094,MGI:103557,22591,9.58383906018246,9.60832043372346,899.751893593082,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Xpc,protein_coding,SSB_others,9,NER,37
39,Left lobe of the liver,NER,6,NER,3,RAD23B,reviewed teacher label/alias -> official mouse symbol,Rad23b,Rad23b,ENSMUSG00000028426,MGI:105128,19359,12.6187335955592,12.7570777137813,9714.42309326883,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Rad23b,protein_coding,SSB_others,10,NER,38
40,Left lobe of the liver,NER,6,NER,4,CETN2,reviewed teacher label/alias -> official mouse symbol,Cetn2,Cetn2,ENSMUSG00000031347,MGI:1347085,26370,8.56474644921161,8.55484585377976,452.033889118853,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Cetn2,protein_coding,SSB_others,11,NER,39
41,Left lobe of the liver,NER,6,NER,5,CSA,reviewed teacher label/alias -> official mouse symbol,Ercc8,Ercc8,ENSMUSG00000021694,MGI:1919241,71991,7.5692433393177,7.48920387807383,184.550162746999,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc8,protein_coding,SSB_others,12,NER,40
42,Left lobe of the liver,NER,6,NER,6,CSB,reviewed teacher label/alias -> official mouse symbol,Ercc6,Ercc6,ENSMUSG00000054051,MGI:1100494,319955,9.06611309256179,9.08258369560114,639.261025030466,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ercc6,protein_coding,SSB_others,13,NER,41
43,Left lobe of the liver,NER,6,NER,7,DDB1,reviewed teacher label/alias -> official mouse symbol,Ddb1,Ddb1,ENSMUSG00000024740,MGI:1202384,13194,12.8844176960058,13.0281911289436,9318.96962968149,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ddb1,protein_coding,SSB_others,14,NER,42
