family,ensembl_id,display_symbol,all_source_symbols,mgi_id,set_01_Cecum,set_02_Femoral_skin,set_03_Bone_marrow,set_04_Spleen_distal,set_05_Retina,set_06_Heart_Heart_right_ventricle
down_tissues,ENSMUSG00000027242,Wdr76,Wdr76,MGI:1926186,1,1,1,1,1,1
down_tissues,ENSMUSG00000027246,Ell3,Ell3,MGI:2673679,1,1,1,1,1,1
down_tissues,ENSMUSG00000027282,Mtch2,Mtch2,MGI:1929260,1,1,1,1,1,1
down_tissues,ENSMUSG00000027323,Rad51,Rad51,MGI:97890,1,1,1,1,1,1
down_tissues,ENSMUSG00000027326,Knl1,Knl1,MGI:1923714,1,1,1,1,1,1
down_tissues,ENSMUSG00000027342,Pcna,Pcna,MGI:97503,1,1,1,1,1,1
down_tissues,ENSMUSG00000027351,Spred1,Spred1,MGI:2150016,1,1,1,1,1,1
down_tissues,ENSMUSG00000027353,Mcm8,Mcm8,MGI:1913884,1,1,1,1,1,1
down_tissues,ENSMUSG00000027381,Bcl2l11,Bcl2l11,MGI:1197519,1,1,1,1,1,1
down_tissues,ENSMUSG00000027424,Mgme1,Mgme1,MGI:1921778,1,1,1,1,1,1
down_tissues,ENSMUSG00000027433,Xrn2,Xrn2,MGI:894687,1,1,1,1,1,1
down_tissues,ENSMUSG00000027490,E2f1,E2f1,MGI:101941,1,1,1,1,1,1
down_tissues,ENSMUSG00000027510,Rbm38,Rbm38,MGI:1889294,1,1,1,1,1,1
down_tissues,ENSMUSG00000027544,Nfatc2,Nfatc2,MGI:102463,1,1,1,1,1,1
down_tissues,ENSMUSG00000027569,Mrgbp,Mrgbp,MGI:1920497,1,1,1,1,1,1
down_tissues,ENSMUSG00000027577,Chrna4,Chrna4,MGI:87888,1,1,0,0,1,1
down_tissues,ENSMUSG00000027639,Samhd1,Samhd1,MGI:1927468,1,1,1,1,1,1
down_tissues,ENSMUSG00000027650,Tti1,Tti1,MGI:1922675,1,1,1,1,1,1
down_tissues,ENSMUSG00000027660,Skil,Skil,MGI:106203,1,1,1,1,1,1
down_tissues,ENSMUSG00000027671,Actl6a,Actl6a,MGI:1861453,1,1,1,1,1,1
down_tissues,ENSMUSG00000027751,Supt20,Supt20,MGI:1929651,1,1,1,1,1,1
down_tissues,ENSMUSG00000027845,Dclre1b,Dclre1b,MGI:2156057,1,1,1,1,1,1
down_tissues,ENSMUSG00000027855,Sycp1,Sycp1,MGI:105931,1,0,0,0,0,0
down_tissues,ENSMUSG00000027933,Ints3,Ints3,MGI:2140050,1,1,1,1,1,1
down_tissues,ENSMUSG00000028063,Lmna,Lmna,MGI:96794,1,1,1,1,1,1
down_tissues,ENSMUSG00000028086,Fbxw7,Fbxw7,MGI:1354695,1,1,1,1,1,1
down_tissues,ENSMUSG00000028089,Chd1l,Chd1l,MGI:1915308,1,1,1,1,1,1
down_tissues,ENSMUSG00000028224,Nbn,Nbn,MGI:1351625,1,1,1,1,1,1
down_tissues,ENSMUSG00000028284,Map3k7,Map3k7,MGI:1346877,1,1,1,1,1,1
down_tissues,ENSMUSG00000028312,Smc2,Smc2,MGI:106067,1,1,1,1,1,1
down_tissues,ENSMUSG00000028329,Xpa,Xpa,MGI:99135,1,1,1,1,1,1
down_tissues,ENSMUSG00000028354,Fmn2,Fmn2,MGI:1859252,1,1,1,1,1,1
down_tissues,ENSMUSG00000028394,Pole3,Pole3,MGI:1933378,1,1,1,1,1,1
